Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,HISPANIC,GERALDINE,13,75
2011,FEMALE,HISPANIC,GIA,21,67
2011,FEMALE,HISPANIC,GIANNA,49,42
2011,FEMALE,HISPANIC,GISELLE,38,51
2011,FEMALE,HISPANIC,GRACE,36,53
2011,FEMALE,HISPANIC,GUADALUPE,26,62
2011,FEMALE,HISPANIC,HAILEY,126,8
2011,FEMALE,HISPANIC,HALEY,14,74
2011,FEMALE,HISPANIC,HANNAH,17,71
2011,FEMALE,HISPANIC,HAYLEE,17,71
2011,FEMALE,HISPANIC,HAYLEY,13,75
2011,FEMALE,HISPANIC,HAZEL,10,78
2011,FEMALE,HISPANIC,HEAVEN,15,73
2011,FEMALE,HISPANIC,HEIDI,15,73
2011,FEMALE,HISPANIC,HEIDY,16,72
2011,FEMALE,HISPANIC,HELEN,13,75
2011,FEMALE,HISPANIC,IMANI,11,77
2011,FEMALE,HISPANIC,INGRID,11,77
2011,FEMALE,HISPANIC,IRENE,11,77
2011,FEMALE,HISPANIC,IRIS,10,78
2011,FEMALE,HISPANIC,ISABEL,28,60
2011,FEMALE,HISPANIC,ISABELA,10,78